City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
buin,-33.7333,-70.75,71.87,70,0,1.23,CL,1643255211
georgetown,5.4112,100.3354,87.73,76,20,5.01,MY,1643255163
tampin,2.4701,102.2302,87.33,58,91,7.29,MY,1643255212
mataura,-46.1927,168.8643,57.47,41,44,7.96,NZ,1643255213
chuy,-33.6971,-53.4616,69.87,86,92,18.19,UY,1643255213
ushuaia,-54.8,-68.3,49.66,76,75,23.02,AR,1643255048
hilo,19.7297,-155.09,74.25,85,0,1.01,US,1643254974
butaritari,3.0707,172.7902,82.15,77,16,13.31,KI,1643255214
payakumbuh,-0.2202,100.6308,82.54,61,96,2.51,ID,1643255214
pevek,69.7008,170.3133,-31.86,98,31,1.92,RU,1643255215
pasinler,39.9803,41.6764,23.99,96,100,1.61,TR,1643255215
surt,31.2089,16.5887,52.38,62,38,11.7,LY,1643255216
albany,42.6001,-73.9662,8.47,64,4,2.28,US,1643255217
muzhi,65.3667,64.6667,10.96,96,100,4.07,RU,1643255217
kismayo,-0.3582,42.5454,77.45,77,42,13.82,SO,1643255218
torbay,47.6666,-52.7314,28.76,96,100,14.97,CA,1643255218
bredasdorp,-34.5322,20.0403,64.27,92,25,3.51,ZA,1643255218
dikson,73.5069,80.5464,11.61,92,100,27.72,RU,1643255219
coquimbo,-29.9533,-71.3436,60.53,82,0,3.44,CL,1643255063
kaeo,-35.1,173.7833,79.32,55,0,2.59,NZ,1643255220
nikolskoye,59.7035,30.7861,24.87,93,100,9.98,RU,1643255220
hami,42.8,93.45,25.83,39,9,2.39,CN,1643255221
paamiut,61.994,-49.6678,14.18,71,100,10.27,GL,1643255221
hermanus,-34.4187,19.2345,64.8,85,22,9.17,ZA,1643255222
the valley,18.217,-63.0578,76.86,73,65,17.43,AI,1643255222
carnarvon,-24.8667,113.6333,82.47,65,75,13.8,AU,1643255223
busselton,-33.65,115.3333,78.08,34,0,4.74,AU,1643255223
saldanha,-33.0117,17.9442,59.05,92,0,11.65,ZA,1643255223
port hardy,50.6996,-127.4199,40.75,93,40,5.75,CA,1643255130
punta arenas,-53.15,-70.9167,50.11,76,40,25.32,CL,1643255224
qaanaaq,77.484,-69.3632,-8.34,59,73,9.33,GL,1643255225
tralee,52.2704,-9.7026,50.97,99,100,5.68,IE,1643255225
kapaa,22.0752,-159.319,76.98,74,20,1.99,US,1643255225
port alfred,-33.5906,26.891,72.39,92,80,4.09,ZA,1643255226
hobart,-42.8794,147.3294,75.25,64,75,4.0,AU,1643255133
puerto ayora,-0.7393,-90.3518,73.11,91,98,6.15,EC,1643255227
bluff,-46.6,168.3333,57.79,60,65,11.88,NZ,1643255227
la ronge,55.1001,-105.2842,5.22,72,20,6.91,CA,1643254984
souillac,-20.5167,57.5167,80.37,88,40,4.61,MU,1643255228
bethel,41.3712,-73.414,20.05,63,0,0.0,US,1643255228
cape town,-33.9258,18.4232,65.26,82,0,1.99,ZA,1643255229
comodoro rivadavia,-45.8667,-67.5,57.06,51,0,4.61,AR,1643255229
tasiilaq,65.6145,-37.6368,19.56,81,100,5.97,GL,1643255230
rikitea,-23.1203,-134.9692,78.22,79,4,18.07,PF,1643255230
ogbomosho,8.133,4.25,68.83,30,1,3.36,NG,1643255231
bandarbeyla,9.4942,50.8122,71.87,70,92,13.67,SO,1643255231
saint george,37.1041,-113.5841,44.35,39,0,1.01,US,1643254938
barrow,71.2906,-156.7887,-11.18,70,0,17.27,US,1643255218
atuona,-9.8,-139.0333,78.91,77,14,19.39,PF,1643255232
